SSP1;UKI;trn_freight;0;0.2;0.1;0
SSP1;LAM;trn_freight;0;0;-0.1;-0.2
SSP1;IND;trn_shipping_intl;0;1.1;0.6;0.2
SSP1;SSA;trn_shipping_intl;0;0.3;0.4;0.2
SSP1;REF;trn_shipping_intl;-0.3;-0.4;-0.4;-0.3
SSP1;OAS;trn_shipping_intl;-0.3;-0.3;-0.2;-0.5
SSP1;CAZ;trn_shipping_intl;0;0.5;0.3;0
SSP1;NES;trn_pass;0;0.7;0.7;0.1
SSP1;NES;trn_freight;0;0.1;0.2;0.1
SSP1;ESW;trn_freight;0;-0.5;-0.2;0
SSP1;ECE;trn_freight;0;0;-0.4;-0.2
SSP1;ECS;trn_freight;0;0;-0.2;0
SSP1;OAS;trn_freight;0;-0.1;-0.2;0.5
SSP1;FRA;trn_freight;0;0;0.2;0.1
SSP1;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SSP1;NES;trn_shipping_intl;0;2;2;0.8
SSP5;MEA;trn_shipping_intl;0.3;0;0;0
SSP5;CHA;trn_shipping_intl;-0.4;0;-0.3;-2
SSP5;JPN;trn_shipping_intl;0;0;-1;-2
SSP5;REF;trn_aviation_intl;0;-0.3;0;0
SSP5;IND;trn_aviation_intl;0;0.6;0;1
SSP5;SSA;trn_aviation_intl;0;0;0.2;0.2
SSP5;CHA;trn_aviation_intl;0;0.2;0.1;0
SSP5;CAZ;trn_pass;-0.1;-0.1;-0.1;0.2
SSP5;USA;trn_pass;-0.1;-0.1;-0.2;0.2
SSP5;JPN;trn_pass;0;0;0.1;0
SSP5;MEA;trn_pass;0;-0.3;-0.3;0.1
SSP5;REF;trn_pass;0;-0.2;-0.1;0
SSP5;SSA;trn_pass;0;0;-0.2;0.2
SSP5;SSA;trn_freight;0;0;0;0.2
SSP5;IND;trn_freight;0;0;-0.5;0
SSP5;USA;trn_freight;0;0.2;0.3;0.8
SSP5;CAZ;trn_freight;0.3;0.1;0.2;0
SSP5;OAS;trn_pass;0;0;-0.2;0.2
SSP5;IND;trn_pass;0;-0.3;-0.3;0.3
SSP5;CHA;trn_pass;0;-0.2;0.3;-0.5
SSP5;OAS;trn_aviation_intl;-0.5;-0.5;-0.2;0.7
SSP5;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SSP5;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SSP5;MEA;trn_freight;0;0.2;0.4;1
SSP5;REF;trn_freight;-0.8;-0.9;-0.2;0
SSP5;CHA;trn_freight;-1;-0.4;0;-1
SSP5;UKI;trn_freight;0;0.2;0.1;0
SSP5;IND;trn_shipping_intl;0;1.1;0.6;0.2
SSP5;SSA;trn_shipping_intl;0;0.3;0.4;0.2
SSP5;REF;trn_shipping_intl;-0.3;-0.4;-0.4;-0.3
SSP5;OAS;trn_shipping_intl;-0.3;-0.3;-0.2;-0.5
SSP5;CAZ;trn_shipping_intl;0;0.5;0.3;0
SSP5;ECS;trn_aviation_intl;0;0.4;0.2;0
SSP5;NES;trn_aviation_intl;0;1;0.2;0
SSP5;ECE;trn_aviation_intl;0;1;0.2;0
SSP5;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SSP5;NES;trn_pass;0;0.6;0.5;0
SSP5;ESW;trn_freight;0;-0.5;-0.2;0
SSP5;ECE;trn_freight;0;0;-0.4;-0.2
SSP5;ECS;trn_freight;0;0;-0.2;0
SSP5;OAS;trn_freight;0;-0.1;-0.4;1.5
SSP5;FRA;trn_freight;0;0;0.2;0.1
SSP5;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SSP5;NES;trn_shipping_intl;0;2;2;0.8
SSP2;MEA;trn_shipping_intl;0.3;0;0;0
SSP2;CHA;trn_shipping_intl;-0.4;0;-0.3;-2
SSP2;JPN;trn_shipping_intl;0;0;-1;-2
SSP2;REF;trn_aviation_intl;0;-0.3;0;0
SSP2;IND;trn_aviation_intl;0;0.6;0;1
SSP2;SSA;trn_aviation_intl;0;0;0.2;0.2
SSP2;CHA;trn_aviation_intl;0;0.2;0.1;0
SSP2;CAZ;trn_pass;-0.1;-0.1;-0.1;0.2
SSP2;USA;trn_pass;-0.1;-0.1;-0.2;0.2
SSP2;JPN;trn_pass;0;0;0.1;0
SSP2;MEA;trn_pass;0;-0.3;-0.3;0.1
SSP2;REF;trn_pass;0;-0.2;-0.1;0
SSP2;SSA;trn_pass;0;0;-0.2;0.2
SSP2;SSA;trn_freight;0;0;0;0.2
SSP2;IND;trn_freight;0;0;-0.5;0
SSP2;USA;trn_freight;0;0.2;0.3;0.8
SSP2;CAZ;trn_freight;0.3;0.1;0.2;0
SSP2;OAS;trn_pass;0;0;-0.2;0.2
SSP2;IND;trn_pass;0;-0.3;-0.3;0.3
SSP2;CHA;trn_pass;0;-0.2;0.3;-0.5
SSP2;OAS;trn_aviation_intl;-0.5;-0.5;-0.2;0.7
SSP2;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SSP2;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SSP2;MEA;trn_freight;0;0.2;0.4;1
SSP2;REF;trn_freight;-0.8;-0.9;-0.2;0
SSP2;CHA;trn_freight;-1;-0.4;0;-1
SSP2;UKI;trn_freight;0;0.2;0.1;0
SSP2;IND;trn_shipping_intl;0;1.1;0.6;0.2
SSP2;SSA;trn_shipping_intl;0;0.3;0.4;0.2
SSP2;REF;trn_shipping_intl;-0.3;-0.4;-0.4;-0.3
SSP2;OAS;trn_shipping_intl;-0.3;-0.3;-0.2;-0.5
SSP2;CAZ;trn_shipping_intl;0;0.5;0.3;0
SSP2;ECS;trn_aviation_intl;0;0.4;0.2;0
SSP2;NES;trn_aviation_intl;0;1;0.2;0
SSP2;ECE;trn_aviation_intl;0;1;0.2;0
SSP2;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SSP2;NES;trn_pass;0;0.6;0.5;0
SSP2;ESW;trn_freight;0;-0.5;-0.2;0
SSP2;ECE;trn_freight;0;0;-0.4;-0.2
SSP2;ECS;trn_freight;0;0;-0.2;0
SSP2;OAS;trn_freight;0;-0.1;-0.4;1.5
SSP2;FRA;trn_freight;0;0;0.2;0.1
SSP2;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SSP2;NES;trn_shipping_intl;0;2;2;0.8
SSP3;DEU;trn_freight;0.4;0.6;0.4;0
SSP3;DEU;trn_pass;0.3;0.2;0.1;0
SSP3;MEA;trn_shipping_intl;0.3;0;0;0
SSP3;CHA;trn_shipping_intl;-0.4;0;-0.3;-2
SSP3;JPN;trn_shipping_intl;0;0;-1;-2
SSP3;REF;trn_aviation_intl;0;-0.3;0;0
SSP3;IND;trn_aviation_intl;0;0.6;0;1
SSP3;SSA;trn_aviation_intl;0;0;0.2;0.2
SSP3;CHA;trn_aviation_intl;0;0.2;0.1;0
SSP3;CAZ;trn_pass;-0.1;-0.1;-0.1;0.2
SSP3;USA;trn_pass;-0.1;-0.1;-0.2;0.2
SSP3;JPN;trn_pass;0;0;0.1;0
SSP3;MEA;trn_pass;0;-0.3;-0.3;0.1
SSP3;REF;trn_pass;0;-0.2;-0.1;0
SSP3;SSA;trn_pass;0;0;-0.2;0.2
SSP3;SSA;trn_freight;0;0;0;0.2
SSP3;IND;trn_freight;0;0;-0.5;0
SSP3;USA;trn_freight;0;0.2;0.3;0.8
