SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SDP_EI;UKI;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;2.50E-02;2.34E-01;4.60E-01;6.87E-01;1.00E+00;1.00E+00
SDP_EI;USA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.24E-01;6.12E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;CAZ;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;4.49E-01;7.24E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;CHA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.00E+00;1.00E+00;1.00E+00;1.00E+00;1.00E+00
SDP_MC;DEU;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.18E-01;7.59E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;ECE;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;6.21E-01;8.11E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;ECS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;3.73E-01;6.86E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;ENC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;8.63E-01;9.31E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;ESC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.44E-01;7.72E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;ESW;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.08E-02;4.66E-01;7.33E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;EWN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;3.52E-01;6.15E-01;8.79E-01;1.00E+00;1.00E+00
SDP_MC;FRA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.40E-02;6.73E-01;8.36E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;IND;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.07E-01;6.04E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;JPN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;3.87E-01;5.52E-01;7.18E-01;1.00E+00;1.00E+00
SDP_MC;LAM;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.18E-01;7.59E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;MEA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.07E-01;6.04E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;NEN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;5.61E-02;5.61E-01;7.80E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;NES;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.07E-01;4.51E-01;6.96E-01;1.00E+00;1.00E+00
SDP_MC;OAS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.64E-01;7.82E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;REF;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.90E-01;6.45E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;SSA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.48E-01;6.24E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;UKI;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;2.50E-02;4.67E-01;7.34E-01;1.00E+00;1.00E+00;1.00E+00
SDP_MC;USA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;4.49E-01;7.24E-01;1.00E+00;1.00E+00;1.00E+00
