"","variable","region","period","unit","scenario","value","model"
"172","ES|Transport|Freight|Road","China",2055,"bn tkm/yr","historical",22395.7924842246,"IEA ETP 2DS"
"173","ES|Transport|Freight|Road","European Union",2055,"bn tkm/yr","historical",4763.85526704272,"IEA ETP 2DS"
"174","ES|Transport|Freight|Road","India",2055,"bn tkm/yr","historical",10760.6862695257,"IEA ETP 2DS"
"175","ES|Transport|Freight|Road","Mexico",2055,"bn tkm/yr","historical",1165.08029612901,"IEA ETP 2DS"
"176","ES|Transport|Freight|Road","Russia",2055,"bn tkm/yr","historical",1933.70334416759,"IEA ETP 2DS"
"177","ES|Transport|Freight|Road","South Africa",2055,"bn tkm/yr","historical",748.665802827663,"IEA ETP 2DS"
"178","ES|Transport|Freight|Road","United States",2055,"bn tkm/yr","historical",12840.1381497812,"IEA ETP 2DS"
"179","ES|Transport|Freight|Road","OECD",2060,"bn tkm/yr","historical",24576.1665220761,"IEA ETP 2DS"
"180","ES|Transport|Freight|Road","NonOECD",2060,"bn tkm/yr","historical",69189.0880784941,"IEA ETP 2DS"
"181","ES|Transport|Freight|Road","ASEAN",2060,"bn tkm/yr","historical",6229.48446657496,"IEA ETP 2DS"
"182","ES|Transport|Freight|Road","Brazil",2060,"bn tkm/yr","historical",4111.2663274294,"IEA ETP 2DS"
"183","ES|Transport|Freight|Road","China",2060,"bn tkm/yr","historical",24896.944584624,"IEA ETP 2DS"
"184","ES|Transport|Freight|Road","European Union",2060,"bn tkm/yr","historical",5034.71473503278,"IEA ETP 2DS"
"185","ES|Transport|Freight|Road","India",2060,"bn tkm/yr","historical",12160.1971570422,"IEA ETP 2DS"
"186","ES|Transport|Freight|Road","Mexico",2060,"bn tkm/yr","historical",1261.12284946685,"IEA ETP 2DS"
"187","ES|Transport|Freight|Road","Russia",2060,"bn tkm/yr","historical",2089.83212416163,"IEA ETP 2DS"
"188","ES|Transport|Freight|Road","South Africa",2060,"bn tkm/yr","historical",814.867291231359,"IEA ETP 2DS"
"189","ES|Transport|Freight|Road","United States",2060,"bn tkm/yr","historical",13848.0734237817,"IEA ETP 2DS"
"190","ES|Transport|Freight|Road","ASEAN",2035,"bn tkm/yr","historical",3163.36131285599,"IEA ETP B2DS"
"191","ES|Transport|Freight|Road","Brazil",2035,"bn tkm/yr","historical",2472.66736930074,"IEA ETP B2DS"
"192","ES|Transport|Freight|Road","China",2035,"bn tkm/yr","historical",12533.8936209514,"IEA ETP B2DS"
"193","ES|Transport|Freight|Road","European Union",2035,"bn tkm/yr","historical",3690.17303850152,"IEA ETP B2DS"
"194","ES|Transport|Freight|Road","India",2035,"bn tkm/yr","historical",5212.88934435285,"IEA ETP B2DS"
"195","ES|Transport|Freight|Road","Mexico",2035,"bn tkm/yr","historical",799.633364416172,"IEA ETP B2DS"
"196","ES|Transport|Freight|Road","Russia",2035,"bn tkm/yr","historical",1311.50071413899,"IEA ETP B2DS"
"197","ES|Transport|Freight|Road","South Africa",2035,"bn tkm/yr","historical",483.56080748842,"IEA ETP B2DS"
"198","ES|Transport|Freight|Road","United States",2035,"bn tkm/yr","historical",8851.84601826478,"IEA ETP B2DS"
"199","ES|Transport|Freight|Road","OECD",2040,"bn tkm/yr","historical",17626.3244340658,"IEA ETP B2DS"
"200","ES|Transport|Freight|Road","NonOECD",2040,"bn tkm/yr","historical",40480.5962367067,"IEA ETP B2DS"
"201","ES|Transport|Freight|Road","ASEAN",2040,"bn tkm/yr","historical",3670.80608929427,"IEA ETP B2DS"
"202","ES|Transport|Freight|Road","Brazil",2040,"bn tkm/yr","historical",2724.91547552683,"IEA ETP B2DS"
"203","ES|Transport|Freight|Road","China",2040,"bn tkm/yr","historical",14447.6699986849,"IEA ETP B2DS"
"204","ES|Transport|Freight|Road","European Union",2040,"bn tkm/yr","historical",3875.77098859399,"IEA ETP B2DS"
"205","ES|Transport|Freight|Road","India",2040,"bn tkm/yr","historical",6323.43743948943,"IEA ETP B2DS"
"206","ES|Transport|Freight|Road","Mexico",2040,"bn tkm/yr","historical",871.091280338344,"IEA ETP B2DS"
"207","ES|Transport|Freight|Road","Russia",2040,"bn tkm/yr","historical",1432.05714590969,"IEA ETP B2DS"
"208","ES|Transport|Freight|Road","South Africa",2040,"bn tkm/yr","historical",535.621672678353,"IEA ETP B2DS"
"209","ES|Transport|Freight|Road","United States",2040,"bn tkm/yr","historical",9607.17496377726,"IEA ETP B2DS"
"210","ES|Transport|Freight|Road","OECD",2045,"bn tkm/yr","historical",18849.2591261452,"IEA ETP B2DS"
"211","ES|Transport|Freight|Road","NonOECD",2045,"bn tkm/yr","historical",46047.4747764105,"IEA ETP B2DS"
"212","ES|Transport|Freight|Road","ASEAN",2045,"bn tkm/yr","historical",4169.42379755731,"IEA ETP B2DS"
"213","ES|Transport|Freight|Road","Brazil",2045,"bn tkm/yr","historical",2985.23883378414,"IEA ETP B2DS"
"214","ES|Transport|Freight|Road","China",2045,"bn tkm/yr","historical",16469.2336743751,"IEA ETP B2DS"
"215","ES|Transport|Freight|Road","European Union",2045,"bn tkm/yr","historical",4064.96028020317,"IEA ETP B2DS"
"216","ES|Transport|Freight|Road","India",2045,"bn tkm/yr","historical",7497.98517066196,"IEA ETP B2DS"
"217","ES|Transport|Freight|Road","Mexico",2045,"bn tkm/yr","historical",938.217911931052,"IEA ETP B2DS"
"218","ES|Transport|Freight|Road","Russia",2045,"bn tkm/yr","historical",1550.70897458837,"IEA ETP B2DS"
"219","ES|Transport|Freight|Road","South Africa",2045,"bn tkm/yr","historical",587.533232239417,"IEA ETP B2DS"
"220","ES|Transport|Freight|Road","United States",2045,"bn tkm/yr","historical",10377.7035510491,"IEA ETP B2DS"
"221","ES|Transport|Freight|Road","OECD",2050,"bn tkm/yr","historical",20164.5315510066,"IEA ETP B2DS"
"222","ES|Transport|Freight|Road","NonOECD",2050,"bn tkm/yr","historical",52039.8047690148,"IEA ETP B2DS"
